title,link
404,https://datascience4psych.github.io/DataScience4Psych/404.html
apiwrappers,https://datascience4psych.github.io/DataScience4Psych/api-wrappers.html
attribution,https://datascience4psych.github.io/DataScience4Psych/attribution.html
automation,https://datascience4psych.github.io/DataScience4Psych/automation.html
basicsyntax,https://datascience4psych.github.io/DataScience4Psych/basic-syntax.html
basic_data_care,https://datascience4psych.github.io/DataScience4Psych/basic_data_care.html
basiccare,https://datascience4psych.github.io/DataScience4Psych/basiccare.html
bechdal,https://datascience4psych.github.io/DataScience4Psych/bechdal.html
bias,https://datascience4psych.github.io/DataScience4Psych/bias.html
bootstrapping,https://datascience4psych.github.io/DataScience4Psych/bootstrapping.html
childdocuments,https://datascience4psych.github.io/DataScience4Psych/child-documents.html
colophon,https://datascience4psych.github.io/DataScience4Psych/colophon.html
communicatingdatascienceresultseffectively,https://datascience4psych.github.io/DataScience4Psych/communicating-data-science-results-effectively.html
creatingdatasetswithquantiativeandcategoricalvariables,https://datascience4psych.github.io/DataScience4Psych/creating-datasets-with-quantiative-and-categorical-variables.html
crossvalidation,https://datascience4psych.github.io/DataScience4Psych/cross-validation.html
datascienceandethics,https://datascience4psych.github.io/DataScience4Psych/data-science-and-ethics.html
datatypesandrecoding,https://datascience4psych.github.io/DataScience4Psych/data-types-and-recoding.html
datausuallyfindsme,https://datascience4psych.github.io/DataScience4Psych/data-usually-finds-me.html
deeperdivingintoggplot2,https://datascience4psych.github.io/DataScience4Psych/deeper-diving-into-ggplot2.html
designingeffectivevisualizations,https://datascience4psych.github.io/DataScience4Psych/designing-effective-visualizations.html
diywebdata,https://datascience4psych.github.io/DataScience4Psych/diy-web-data.html
dontmissmodule00,https://datascience4psych.github.io/DataScience4Psych/dont-miss-module-00.html
dontmissthelastmodule,https://datascience4psych.github.io/DataScience4Psych/dont-miss-the-last-module.html
dplyrintro,https://datascience4psych.github.io/DataScience4Psych/dplyr-intro.html
dplyr_intro,https://datascience4psych.github.io/DataScience4Psych/dplyr_intro.html
exploratorydataanalysis,https://datascience4psych.github.io/DataScience4Psych/exploratory-data-analysis.html
featurenotes,https://datascience4psych.github.io/DataScience4Psych/featurenotes.html
fittingandinterpretingmodels,https://datascience4psych.github.io/DataScience4Psych/fitting-and-interpreting-models.html
functions1,https://datascience4psych.github.io/DataScience4Psych/functions-1.html
functionspart1,https://datascience4psych.github.io/DataScience4Psych/functions-part1.html
functionspracticum,https://datascience4psych.github.io/DataScience4Psych/functions-practicum.html
generatecharactervectorswithrep,https://datascience4psych.github.io/DataScience4Psych/generate-character-vectors-with-rep.html
gettingstartedwithsimulatingdatainr,https://datascience4psych.github.io/DataScience4Psych/getting-started-with-simulating-data-in-r.html
goodresources,https://datascience4psych.github.io/DataScience4Psych/good-resources.html
grammarofdatawrangling,https://datascience4psych.github.io/DataScience4Psych/grammar-of-data-wrangling.html
guidance,https://datascience4psych.github.io/DataScience4Psych/guidance.html
handson,https://datascience4psych.github.io/DataScience4Psych/handson.html
importexport,https://datascience4psych.github.io/DataScience4Psych/import-export.html
importingdata,https://datascience4psych.github.io/DataScience4Psych/importing-data.html
index,https://datascience4psych.github.io/DataScience4Psych/index.html
lab01,https://datascience4psych.github.io/DataScience4Psych/lab01.html
lab02,https://datascience4psych.github.io/DataScience4Psych/lab02.html
lab03,https://datascience4psych.github.io/DataScience4Psych/lab03.html
lab04,https://datascience4psych.github.io/DataScience4Psych/lab04.html
lab05,https://datascience4psych.github.io/DataScience4Psych/lab05.html
lab06,https://datascience4psych.github.io/DataScience4Psych/lab06.html
lab07,https://datascience4psych.github.io/DataScience4Psych/lab07.html
lab08,https://datascience4psych.github.io/DataScience4Psych/lab08.html
lab08b,https://datascience4psych.github.io/DataScience4Psych/lab08b.html
lab09,https://datascience4psych.github.io/DataScience4Psych/lab09.html
lab10,https://datascience4psych.github.io/DataScience4Psych/lab10.html
