title,link
activitystarwars,https://datascience4psych.github.io/DataScience4Psych/activity-star-wars.html
apiwrappers,https://datascience4psych.github.io/DataScience4Psych/api-wrappers.html
attribution,https://datascience4psych.github.io/DataScience4Psych/attribution.html
automation,https://datascience4psych.github.io/DataScience4Psych/automation.html
baser,https://datascience4psych.github.io/DataScience4Psych/base-r.html
basicdatacare,https://datascience4psych.github.io/DataScience4Psych/basic-data-care.html
bechdal,https://datascience4psych.github.io/DataScience4Psych/bechdal.html
besselscorrection,https://datascience4psych.github.io/DataScience4Psych/bessels-correction.html
centraltendencymean1,https://datascience4psych.github.io/DataScience4Psych/central-tendency-mean-1.html
centraltendencymean2,https://datascience4psych.github.io/DataScience4Psych/central-tendency-mean-2.html
centraltendencymean,https://datascience4psych.github.io/DataScience4Psych/central-tendency-mean.html
centraltendencymedian1,https://datascience4psych.github.io/DataScience4Psych/central-tendency-median-1.html
centraltendencymedian,https://datascience4psych.github.io/DataScience4Psych/central-tendency-median.html
centraltendencymode,https://datascience4psych.github.io/DataScience4Psych/central-tendency-mode.html
choiceyourownactivity,https://datascience4psych.github.io/DataScience4Psych/choice-your-own-activity.html
classicthingsinr,https://datascience4psych.github.io/DataScience4Psych/classic-things-in-r.html
colophon,https://datascience4psych.github.io/DataScience4Psych/colophon.html
communicatingdatascienceresultseffectively,https://datascience4psych.github.io/DataScience4Psych/communicating-data-science-results-effectively.html
confoundingandspringbreak,https://datascience4psych.github.io/DataScience4Psych/confounding-and-spring-break.html
confoundingcommunicationandspringbreak,https://datascience4psych.github.io/DataScience4Psych/confounding-communication-and-spring-break.html
crossvalidation,https://datascience4psych.github.io/DataScience4Psych/cross-validation.html
dataandethics,https://datascience4psych.github.io/DataScience4Psych/data-and-ethics.html
dataandvisualization,https://datascience4psych.github.io/DataScience4Psych/data-and-visualization.html
dataasrhetoric,https://datascience4psych.github.io/DataScience4Psych/data-as-rhetoric.html
datadivingwithtypes,https://datascience4psych.github.io/DataScience4Psych/data-diving-with-types.html
datascienceandethics,https://datascience4psych.github.io/DataScience4Psych/data-science-and-ethics.html
datatypesandrecoding,https://datascience4psych.github.io/DataScience4Psych/data-types-and-recoding.html
datausuallyfindsme,https://datascience4psych.github.io/DataScience4Psych/data-usually-finds-me.html
datawrangling,https://datascience4psych.github.io/DataScience4Psych/data-wrangling.html
deeperdivingintoggplot2,https://datascience4psych.github.io/DataScience4Psych/deeper-diving-into-ggplot2.html
designingeffectivevisualizations,https://datascience4psych.github.io/DataScience4Psych/designing-effective-visualizations.html
diywebdata,https://datascience4psych.github.io/DataScience4Psych/diy-web-data.html
dontmissmodule00,https://datascience4psych.github.io/DataScience4Psych/dont-miss-module-00.html
dplyrintro,https://datascience4psych.github.io/DataScience4Psych/dplyr-intro.html
