"category","number","question","requires","result","subject","type","vote_id"
"passage",1,"On the Resolution (S.Res.16)","1/2","Resolution Agreed to","S.Res.16","On the Resolution","s1-106.1999"
"procedural",10,"On the Motion (Division III House Mgrs Motion Re: Appearance of Witnesses)","1/2","Motion Rejected","Division III House Mgrs Motion Re: Appearance of Witnesses","On the Motion (Division III House Mgrs Motion Re: Appearance of Witnesses)","s10-106.1999"
"procedural",100,"On the Motion to Table S.Amdt. 300 to S.J.Res. 20 (No short title on file)","1/2","Motion to Table Agreed to","Motion to table Sarbanes Amdt no. 302","On the Motion to Table S.Amdt. 300 to S.J.Res. 20 (No short title on file)","s100-106.1999"
"procedural",101,"On the Motion to Table S.Amdt. 303 to S. 900 (Gramm-Leach-Bliley Act)","1/2","Motion to Table Agreed to","Motion to table Bryan Amdt. No. 303","On the Motion to Table S.Amdt. 303 to S. 900 (Gramm-Leach-Bliley Act)","s101-106.1999"
"amendment",102,"On the Amendment S.Amdt. 308 to S. 900 (Gramm-Leach-Bliley Act)","1/2","Amendment Agreed to","Gramm Amdt no. 308","On the Amendment","s102-106.1999"
"procedural",103,"On the Motion to Table S.Amdt. 309 to S. 900 (Gramm-Leach-Bliley Act)","1/2","Motion to Table Failed","Motion to table Johnson Amdt no. 309 as modified","On the Motion to Table S.Amdt. 309 to S. 900 (Gramm-Leach-Bliley Act)","s103-106.1999"
"procedural",104,"On the Motion to Table S.Amdt. 315 to S. 900 (Gramm-Leach-Bliley Act)","1/2","Motion to Table Agreed to","Motion to table Shelby Amdt no. 315","On the Motion to Table S.Amdt. 315 to S. 900 (Gramm-Leach-Bliley Act)","s104-106.1999"
"passage",105,"On Passage of the Bill S. 900","1/2","Bill Passed","S.900 as amended","On Passage of the Bill","s105-106.1999"
"amendment",106,"On the Amendment S.Amdt. 324 to S.Amdt. 322 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Gregg Amdt no. 324","On the Amendment","s106-106.1999"
"procedural",107,"On the Motion to Table S.Amdt. 325 to S.Amdt. 322 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to table Robb Amdt no. 325","On the Motion to Table S.Amdt. 325 to S.Amdt. 322 to S. 254 (School Safety Act of 1999)","s107-106.1999"
"amendment",108,"On the Amendment S.Amdt. 322 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Hatch Amdt no. 322, as modified","On the Amendment","s108-106.1999"
"procedural",109,"On the Motion to Table S.Amdt. 327 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to table Leahy Amdt. No. 327","On the Motion to Table S.Amdt. 327 to S. 254 (School Safety Act of 1999)","s109-106.1999"
"procedural",11,"On the Motion (Murray Motion to Substitute Division III of House Motion)","1/2","Motion Rejected","Murray Motion to Substitute Division III of House Motion","On the Motion (Murray Motion to Substitute Division III of House Motion)","s11-106.1999"
"amendment",110,"On the Amendment S.Amdt. 329 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Brownback Amdt. No. 329","On the Amendment","s110-106.1999"
"procedural",111,"On the Motion to Table S.Amdt. 331 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to Table Lautenberg Amdt No. 331","On the Motion to Table S.Amdt. 331 to S. 254 (School Safety Act of 1999)","s111-106.1999"
"amendment",112,"On the Amendment S.Amdt. 332 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Craig Amdt No. 332","On the Amendment","s112-106.1999"
"amendment",113,"On the Amendment S.Amdt. 335 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Hatch Amdt. No. 335","On the Amendment","s113-106.1999"
"procedural",114,"On the Motion to Table S.Amdt. 328 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to Table Hollings Amdt. No. 328","On the Motion to Table S.Amdt. 328 to S. 254 (School Safety Act of 1999)","s114-106.1999"
"amendment",115,"On the Amendment S.Amdt. 342 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Ashcroft Amdt. No. 342","On the Amendment","s115-106.1999"
"procedural",116,"On the Motion to Table S.Amdt. 343 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Failed","Motion to Table Feinstein Amdt. No. 343 as modified further","On the Motion to Table S.Amdt. 343 to S. 254 (School Safety Act of 1999)","s116-106.1999"
"procedural",117,"On the Motion to Table S.Amdt. 344 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Failed","Motion to Table Hatch Amdt. No. 344","On the Motion to Table S.Amdt. 344 to S. 254 (School Safety Act of 1999)","s117-106.1999"
"amendment",118,"On the Amendment S.Amdt. 344 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Hatch Amdt. No. 344","On the Amendment","s118-106.1999"
"procedural",119,"On the Motion to Table S.Amdt. 350 to S. 254 (School Safety Act of 1999)","1/2","Motion to Table Agreed to","Motion to table Schumer Amdt. No. 350","On the Motion to Table S.Amdt. 350 to S. 254 (School Safety Act of 1999)","s119-106.1999"
"procedural",12,"On the Motion (Division III House Mgrs Motion Re: Presentation of Evidence)","1/2","Motion Agreed to","Division III House Mgrs Motion Re: Presentation of Evidence","On the Motion (Division III House Mgrs Motion Re: Presentation of Evidence)","s12-106.1999"
"cloture",120,"Cloture Motion Re: Motion to proceed to consideration S. 96","3/5","Cloture Motion Rejected","On the Cloture Motion S. 96","On the Cloture Motion","s120-106.1999"
"amendment",121,"On the Amendment S.Amdt. 351 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Allard Amdt. No. 351","On the Amendment","s121-106.1999"
"amendment",122,"On the Amendment S.Amdt. 352 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Kohl Amendment No. 352","On the Amendment","s122-106.1999"
"amendment",123,"On the Amendment S.Amdt. 353 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Hatch Amendment No. 353","On the Amendment","s123-106.1999"
"amendment",124,"On the Amendment S.Amdt. 339 to S. 254 (School Safety Act of 1999)","1/2","Amendment Agreed to","Byrd Amdt. No. 339","On the Amendment","s124-106.1999"
