"","Date","Chrome","Safari","Edge","Firefox","Brave","Samsung.Internet","Opera","Android","Mozilla","Yandex.Browser","IE","UC.Browser","Unknown","X360.Safe.Browser","Ecosia","QQ.Browser","Edge.Legacy","Sony.PS4","Other"
"1","2025-06",50.27,31.69,7.1,4.24,2.57,1.6,1.11,0.75,0.27,0.06,0.11,0.05,0.03,0.03,0.02,0.02,0.03,0.01,0.06
"2","2025-07",50.93,31.27,6.94,4.22,2.47,1.6,1.12,0.73,0.26,0.07,0.13,0.05,0.03,0.03,0.02,0.02,0.02,0.01,0.09
"3","2025-08",52.8,29.42,7.1,4.08,2.5,1.53,1.17,0.72,0.22,0.09,0.14,0.05,0.03,0.04,0.02,0.02,0.02,0.01,0.05
"4","2025-09",53.41,28.66,7.21,4.13,2.62,1.53,1.12,0.69,0.19,0.1,0.13,0.03,0.03,0.04,0.02,0.02,0.01,0.01,0.05
"5","2025-10",59.26,25.12,6.41,3.66,2.19,1.32,0.99,0.55,0.16,0.09,0.08,0.03,0.03,0.02,0.02,0.01,0.01,0.01,0.04
"6","2025-11",54.3,28.42,6.99,4.02,2.33,1.42,1.12,0.85,0.19,0.08,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.05
"7","2025-12",53.51,29.34,7.06,4.17,2.29,1.39,1.15,0.47,0.18,0.1,0.1,0.02,0.03,0.04,0.02,0.02,0.02,0.02,0.06
"8","2026-01",54.81,28.47,7.27,3.64,2.38,1.35,1.07,0.46,0.17,0.09,0.09,0.03,0.03,0.03,0.02,0.02,0.02,0.01,0.05
"9","2026-02",51.55,30.75,8.14,3.32,2.62,1.5,1.12,0.5,0.18,0.1,0.02,0.04,0.03,0.02,0.03,0.02,0.01,0.01,0.05
"10","2026-03",49.53,32.41,8.34,3.45,2.73,1.47,1.15,0.48,0.14,0.1,0.01,0.04,0.03,0.02,0.03,0.01,0.01,0.01,0.04
"11","2026-04",50.03,31.86,8.12,3.75,2.69,1.44,1.15,0.45,0.16,0.12,0.03,0.03,0.04,0.02,0.03,0.01,0.01,0.01,0.04
"12","2026-05",53.54,29.11,7.58,3.8,2.27,1.42,1.3,0.45,0.14,0.16,0.03,0.03,0.04,0.02,0.03,0.01,0.01,0.01,0.04
