title,link
activitystarwars,https://datascience4psych.github.io/DataScience4Psych/activity-star-wars.html
attribution,https://datascience4psych.github.io/DataScience4Psych/attribution.html
baser,https://datascience4psych.github.io/DataScience4Psych/base-r.html
basicdatacare,https://datascience4psych.github.io/DataScience4Psych/basic-data-care.html
colophon,https://datascience4psych.github.io/DataScience4Psych/colophon.html
crossvalidation,https://datascience4psych.github.io/DataScience4Psych/cross-validation.html
dataandethics,https://datascience4psych.github.io/DataScience4Psych/data-and-ethics.html
dataandvisualization,https://datascience4psych.github.io/DataScience4Psych/data-and-visualization.html
dataasrhetoric,https://datascience4psych.github.io/DataScience4Psych/data-as-rhetoric.html
datatypesanddatatransformations,https://datascience4psych.github.io/DataScience4Psych/data-types-and-data-transformations.html
datawrangling,https://datascience4psych.github.io/DataScience4Psych/data-wrangling.html
dontmissmodule00,https://datascience4psych.github.io/DataScience4Psych/dont-miss-module-00.html
fittingandinterpretingmodels,https://datascience4psych.github.io/DataScience4Psych/fitting-and-interpreting-models.html
functions,https://datascience4psych.github.io/DataScience4Psych/functions.html
goodresources,https://datascience4psych.github.io/DataScience4Psych/good-resources.html
grammarofdatawrangling,https://datascience4psych.github.io/DataScience4Psych/grammar-of-data-wrangling.html
handsondatawrangling,https://datascience4psych.github.io/DataScience4Psych/hands-on-data-wrangling.html
happygit,https://datascience4psych.github.io/DataScience4Psych/happygit.html
index,https://datascience4psych.github.io/DataScience4Psych/index.html
lab01,https://datascience4psych.github.io/DataScience4Psych/lab01.html
lab02,https://datascience4psych.github.io/DataScience4Psych/lab02.html
lab03,https://datascience4psych.github.io/DataScience4Psych/lab03.html
lab04,https://datascience4psych.github.io/DataScience4Psych/lab04.html
lab05,https://datascience4psych.github.io/DataScience4Psych/lab05.html
lab06,https://datascience4psych.github.io/DataScience4Psych/lab06.html
lab07,https://datascience4psych.github.io/DataScience4Psych/lab07.html
lab08,https://datascience4psych.github.io/DataScience4Psych/lab08.html
lab09,https://datascience4psych.github.io/DataScience4Psych/lab09.html
lab10,https://datascience4psych.github.io/DataScience4Psych/lab10.html
lab11,https://datascience4psych.github.io/DataScience4Psych/lab11.html
lab12,https://datascience4psych.github.io/DataScience4Psych/lab12.html
lab13,https://datascience4psych.github.io/DataScience4Psych/lab13.html
license,https://datascience4psych.github.io/DataScience4Psych/license.html
machineslearn,https://datascience4psych.github.io/DataScience4Psych/machines-learn.html
mediawithoutahomeyet,https://datascience4psych.github.io/DataScience4Psych/media-without-a-home-yet.html
meetourtoolbox,https://datascience4psych.github.io/DataScience4Psych/meet-our-toolbox.html
neuralnetworks,https://datascience4psych.github.io/DataScience4Psych/neural-networks.html
oddlegacydatatypes,https://datascience4psych.github.io/DataScience4Psych/odd-legacy-data-types.html
oddmergesandcollaboration,https://datascience4psych.github.io/DataScience4Psych/odd-merges-and-collaboration.html
predictionandoverfitting,https://datascience4psych.github.io/DataScience4Psych/prediction-and-overfitting.html
quantifyinguncertainty,https://datascience4psych.github.io/DataScience4Psych/quantifying-uncertainty.html
rbasics,https://datascience4psych.github.io/DataScience4Psych/r-basics.html
references,https://datascience4psych.github.io/DataScience4Psych/references.html
rshiny,https://datascience4psych.github.io/DataScience4Psych/rshiny.html
scientificstudiesandconfounding,https://datascience4psych.github.io/DataScience4Psych/scientific-studies-and-confounding.html
secrets,https://datascience4psych.github.io/DataScience4Psych/secrets.html
shinyoverview,https://datascience4psych.github.io/DataScience4Psych/shiny-overview.html
shinyresources,https://datascience4psych.github.io/DataScience4Psych/shiny-resources.html
sitemap,https://datascience4psych.github.io/DataScience4Psych/sitemap.html
specialtopics,https://datascience4psych.github.io/DataScience4Psych/special-topics.html
syllabus,https://datascience4psych.github.io/DataScience4Psych/syllabus.html
thoughtfulworkflow,https://datascience4psych.github.io/DataScience4Psych/thoughtful-workflow.html
tidydata,https://datascience4psych.github.io/DataScience4Psych/tidy-data.html
tipsforeffectivedatavisualization,https://datascience4psych.github.io/DataScience4Psych/tips-for-effective-data-visualization.html
visualizationexamples,https://datascience4psych.github.io/DataScience4Psych/visualization-examples.html
visualizingcategoricaldata,https://datascience4psych.github.io/DataScience4Psych/visualizing-categorical-data.html
visualizingdatawithggplot2,https://datascience4psych.github.io/DataScience4Psych/visualizing-data-with-ggplot2.html
visualizingnumericaldata,https://datascience4psych.github.io/DataScience4Psych/visualizing-numerical-data.html
webscraping,https://datascience4psych.github.io/DataScience4Psych/web-scraping.html
welcometodatascience,https://datascience4psych.github.io/DataScience4Psych/welcome-to-data-science.html
d01_welcome,https://datascience4psych.github.io/slides/d01_welcome/d01_welcome.html
d02_toolkit,https://datascience4psych.github.io/slides/d02_toolkit/d02_toolkit.html
d03_dataviz,https://datascience4psych.github.io/slides/d03_dataviz/d03_dataviz.html
d03_dataviz,https://datascience4psych.github.io/slides/d03_dataviz/starwars.html
d04_ggplot2,https://datascience4psych.github.io/slides/d04_ggplot2/d04_ggplot2.html
d05_viznum,https://datascience4psych.github.io/slides/d05_viznum/d05_viznum.html
d06_vizcat,https://datascience4psych.github.io/slides/d06_vizcat/d06_vizcat.html
d07_tidy,https://datascience4psych.github.io/slides/d07_tidy/d07_tidy.html
d08_grammar,https://datascience4psych.github.io/slides/d08_grammar/d08_grammar.html
d09_wrangle,https://datascience4psych.github.io/slides/d09_wrangle/d09_wrangle.html
d10_dfs,https://datascience4psych.github.io/slides/d10_dfs/d10_dfs.html
index,https://datascience4psych.github.io/slides/index.html
