country,continent,life_exp
Afghanistan,Asia,43.828
Albania,Europe,76.423
Algeria,Africa,72.301
Angola,Africa,42.731
Argentina,Americas,75.32
Australia,Oceania,81.235
Austria,Europe,79.829
Bahrain,Asia,75.635
Bangladesh,Asia,64.062
Belgium,Europe,79.441
Benin,Africa,56.728
Bolivia,Americas,65.554
Bosnia and Herzegovina,Europe,74.852
Botswana,Africa,63.622
Brazil,Americas,72.39
Bulgaria,Europe,73.005
Burkina Faso,Africa,52.295
Burundi,Africa,49.58
Cambodia,Asia,59.723
Cameroon,Africa,54.985
Canada,Americas,80.653
Central African Republic,Africa,50.485
Chad,Africa,51.724
Chile,Americas,78.553
China,Asia,72.961
Colombia,Americas,72.889
Comoros,Africa,65.152
"Congo, Dem. Rep.",Africa,47.804
"Congo, Rep.",Africa,57.47
Costa Rica,Americas,78.782
Cote d'Ivoire,Africa,54.655
Croatia,Europe,75.748
Cuba,Americas,78.273
Czech Republic,Europe,76.486
Denmark,Europe,78.332
Djibouti,Africa,54.791
Dominican Republic,Americas,72.235
Ecuador,Americas,74.994
Egypt,Africa,71.338
El Salvador,Americas,71.878
Equatorial Guinea,Africa,51.579
Eritrea,Africa,58.04
Ethiopia,Africa,52.947
Finland,Europe,79.313
France,Europe,80.657
Gabon,Africa,61.366
Gambia,Africa,59.448
Germany,Europe,79.406
Ghana,Africa,60.022
Greece,Europe,79.483
Guatemala,Americas,70.259
Guinea,Africa,56.007
Guinea-Bissau,Africa,46.388
Haiti,Americas,60.916
Honduras,Americas,70.198
"Hong Kong, China",Asia,82.208
Hungary,Europe,73.338
Iceland,Europe,81.757
India,Asia,64.698
Indonesia,Asia,70.65
Iran,Asia,70.964
Iraq,Asia,65.044
Ireland,Europe,78.885
Israel,Asia,80.745
Italy,Europe,80.546
Jamaica,Americas,72.567
Japan,Asia,82.603
Jordan,Asia,72.535
Kenya,Africa,59.339
"Korea, Dem. Rep.",Asia,70.647
"Korea, Rep.",Asia,78.623
Kuwait,Asia,77.588
Lebanon,Asia,71.993
Lesotho,Africa,59.685
Liberia,Africa,46.027
Libya,Africa,73.952
Madagascar,Africa,59.443
Malawi,Africa,49.42
Malaysia,Asia,74.241
Mali,Africa,54.467
Mauritania,Africa,64.164
Mauritius,Africa,72.801
Mexico,Americas,76.195
Mongolia,Asia,66.803
Montenegro,Europe,75.445
Morocco,Africa,71.164
Mozambique,Africa,46.344
Myanmar,Asia,62.069
Namibia,Africa,61.999
Nepal,Asia,63.785
Netherlands,Europe,79.762
New Zealand,Oceania,80.204
Nicaragua,Americas,72.899
Niger,Africa,56.867
Nigeria,Africa,47.472
Norway,Europe,80.196
Oman,Asia,75.64
Pakistan,Asia,65.483
Panama,Americas,75.537
Paraguay,Americas,71.752
Peru,Americas,71.421
Philippines,Asia,71.688
Poland,Europe,75.563
Portugal,Europe,78.098
Puerto Rico,Americas,78.746
Reunion,Africa,76.442
Romania,Europe,72.476
Rwanda,Africa,46.242
Sao Tome and Principe,Africa,65.528
Saudi Arabia,Asia,72.777
Senegal,Africa,63.062
Serbia,Europe,74.002
Sierra Leone,Africa,42.568
Singapore,Asia,79.972
Slovak Republic,Europe,74.663
Slovenia,Europe,77.926
Somalia,Africa,48.159
South Africa,Africa,61.888
Spain,Europe,80.941
Sri Lanka,Asia,72.396
Sudan,Africa,58.556
Swaziland,Africa,58.474
Sweden,Europe,80.884
Switzerland,Europe,81.701
Syria,Asia,74.143
Taiwan,Asia,78.4
Tanzania,Africa,52.517
Thailand,Asia,70.616
Togo,Africa,58.42
Trinidad and Tobago,Americas,69.862
Tunisia,Africa,73.923
Turkey,Europe,71.777
Uganda,Africa,51.542
United Kingdom,Europe,79.425
United States,Americas,78.242
Uruguay,Americas,76.384
Venezuela,Americas,73.747
Vietnam,Asia,74.249
West Bank and Gaza,Asia,73.422
"Yemen, Rep.",Asia,62.698
Zambia,Africa,51.821
Zimbabwe,Africa,62.351
