"length" "food"
1.24 "Invertebrates"
1.32 "Fish"
1.32 "Fish"
1.4 "Fish"
1.42 "Invertebrates"
1.42 "Fish"
1.45 "Invertebrates"
1.47 "Fish"
1.5 "Invertebrates"
1.52 "Invertebrates"
1.55 "Invertebrates"
1.6 "Invertebrates"
1.63 "Invertebrates"
1.65 "Fish"
1.65 "Fish"
1.68 "Fish"
1.7 "Invertebrates"
1.73 "Other"
1.78 "Invertebrates"
1.8 "Invertebrates"
1.8 "Fish"
1.85 "Fish"
1.88 "Invertebrates"
1.93 "Invertebrates"
1.98 "Invertebrates"
2.16 "Fish"
2.26 "Fish"
2.31 "Fish"
2.31 "Fish"
2.36 "Fish"
2.36 "Fish"
2.44 "Fish"
2.46 "Fish"
2.56 "Other"
2.67 "Fish"
2.72 "Invertebrates"
2.79 "Fish"
3.28 "Other"
3.33 "Fish"
3.56 "Fish"
3.58 "Fish"
3.66 "Fish"
3.68 "Other"
1.3 "Invertebrates"
1.45 "Other"
1.65 "Other"
1.78 "Invertebrates"
2.03 "Fish"
2.39 "Fish"
2.84 "Fish"
3.71 "Fish"
1.3 "Invertebrates"
1.47 "Invertebrates"
1.65 "Invertebrates"
1.78 "Other"
2.03 "Fish"
2.41 "Fish"
3.25 "Other"
3.89 "Fish"
