"PUBLICATION_DATE","UID","AGGR_ECO3_2015","AGGR_ECO9_2015","ATHSTUDY","DATE_BENT","LAT_DD83","LON_DD83","RT_NRSA","SITE_ID","VISIT_NO","YEAR","MMI_BENT","BENT_MMI_COND","COMP_PT","DIVS_PT","FEED_PT","HABT_PT","RICH_PT","TOLR_PT","BURRPTAX","CHIRPTAX","CLNGNTAX","CLNGPTAX","DOM5PIND","EPHENTAX","EPHEPTAX","EPT_NTAX","EPT_PIND","EPT_PTAX","HPRIME","INTLNTAX","NOINPIND","NTOLNTAX","NTOLPTAX","SCRPNTAX","SHRDNTAX","STOLPTAX","TOLRPTAX","OE_SCORE","OE_COND"
"9/4/2015",5000091,"WMTNS","WMT","STAR-HAWKINS","5/19/2001",35.7754,-105.704,"R","EPA01-0101",1,2001,NA,"",4.41334,7.80263,5.71429,7.07579,5.88235,4.71372,14.28571,28.57143,24,57.14286,49.76303,6,14.28571,16,56,38.09524,3.09407,13,9,26,61.90476,5,7,11.90476,14.28571,1.35901604,"O/E>0.9"
"9/4/2015",5000092,"WMTNS","WMT","STAR-HAWKINS","5/23/2001",33.461,-105.808,"R","EPA01-0102",1,2001,NA,"",7.68729,0,0,2.31035,2.35294,6.36766,5.26316,21.05263,7,36.84211,89.84772,3,15.78947,10,44.33333,52.63158,1.25943,7,0.33333,13,68.42105,1,5,5.26316,10.52632,0.651936779,"O/E<0.8"
"9/4/2015",5000093,"PLNLOW","SPL","STAR-HAWKINS","5/30/2001",36.3767,-104.989,"R","EPA01-0103",1,2001,NA,"",6.43217,6.54676,7.14286,8.85115,5.88235,8.41076,8.82353,29.41176,22,64.70588,55,6,17.64706,16,46.33333,47.05882,2.88312,14,0,27,79.41176,6,5,5.88235,5.88235,0.935795706,"O/E>0.9"
"9/4/2015",5000094,"WMTNS","WMT","STAR-HAWKINS","6/1/2001",36.78,-105.22,"R","EPA01-0104",1,2001,NA,"",7.48291,2.38539,7.14286,9.04161,5.29412,9.48162,13.7931,10.34483,19,65.51724,72.35294,6,20.68966,15,46.33333,51.72414,2.28981,10,1,21,72.41379,6,4,3.44828,3.44828,0.721103067,"O/E<0.8"
"9/4/2015",5000095,"WMTNS","WMT","STAR-HAWKINS","6/2/2001",36.7668,-105.393,"R","EPA01-0105",1,2001,NA,"",9.50772,1.43249,5.71429,10,6.47059,9.42744,7.14286,10.71429,22,78.57143,76.32653,7,25,17,27.66667,60.71429,2.03503,13,7.66667,21,75,5,6,3.57143,3.57143,0.974803668,"O/E>0.9"
"9/4/2015",5000096,"WMTNS","WMT","STAR-HAWKINS","6/3/2001",36.1033,-105.488,"R","EPA01-0106",1,2001,NA,"",6.75334,9.21633,5.71429,9.31142,5.88235,8.33233,9.09091,24.24242,22,66.66667,43.86792,7,21.21212,16,62.33333,48.48485,3.06656,11,6.33333,23,69.69697,5,7,6.06061,6.06061,1.280434686,"O/E>0.9"
"9/4/2015",5000097,"WMTNS","WMT","STAR-HAWKINS","6/4/2001",35.9237,-105.861,"R","EPA01-0107",1,2001,NA,"",10,5.35197,7.14286,6.53697,7.05882,8.31833,18.18182,30.30303,16,48.48485,66.82464,8,24.24242,13,64.66667,39.39394,2.65196,12,2,24,72.72727,5,5,6.06061,9.09091,1.092536213,"O/E>0.9"
"9/4/2015",5000098,"WMTNS","WMT","STAR-HAWKINS","6/5/2001",36.1737,-106.847,"R","EPA01-0108",1,2001,NA,"",7.09459,6.44115,4.28571,10,4.70588,7.8562,7.14286,25,20,71.42857,55.44041,6,21.42857,14,70.33333,50,2.75505,12,2.66667,21,75,4,5,7.14286,7.14286,1.129336108,"O/E>0.9"
"9/4/2015",5000099,"WMTNS","XER","STAR-HAWKINS","6/16/2001",39.2338,-114.156,"R","EPA01-0109",1,2001,NA,"",8.87665,7.3353,7.14286,7.80774,7.64706,7.1571,16.12903,12.90323,17,54.83871,57.38397,7,22.58065,14,56.33333,45.16129,2.78213,12,7,20,64.51613,5,5,9.67742,12.90323,1.24915076,"O/E>0.9"
"9/4/2015",5000100,"WMTNS","XER","STAR-HAWKINS","6/17/2001",39.2373,-114.57,"R","EPA01-0111",1,2001,NA,"",10,4.52327,7.14286,10,7.64706,9.95927,11.11111,11.11111,18,66.66667,70.76923,5,18.51852,14,70.66667,51.85185,2.40581,11,2.33333,21,77.77778,5,6,3.7037,3.7037,1.173356932,"O/E>0.9"
"9/4/2015",5000101,"WMTNS","XER","STAR-HAWKINS","6/18/2001",39.436,-114.563,"R","EPA01-0112",1,2001,NA,"",6.73401,4.45509,7.14286,7.80774,7.05882,9.12226,9.67742,29.03226,17,54.83871,71.09375,6,19.35484,13,63,41.93548,2.50185,12,14,24,77.41935,5,5,6.45161,6.45161,1.22984619,"O/E>0.9"
"9/4/2015",5000102,"WMTNS","XER","STAR-HAWKINS","6/19/2001",38.9421,-115.376,"R","EPA01-0113",1,2001,NA,"",7.55025,3.69093,1.42857,3.50667,4.11765,6.736,14.28571,28.57143,7,33.33333,74.73118,5,23.80952,8,39.66667,38.09524,2.31,6,11.33333,13,61.90476,1,4,9.52381,14.28571,0.599513743,"O/E<0.8"
"9/4/2015",5000103,"WMTNS","XER","STAR-HAWKINS","6/21/2001",41.5298,-118.965,"R","EPA01-0114",1,2001,NA,"",10,4.48438,7.14286,6.53697,9.41176,9.24136,15.15152,15.15152,16,48.48485,70.95436,7,21.21212,17,27.33333,51.51515,2.4742,14,2.66667,26,78.78788,5,9,3.0303,6.06061,0.748731578,"O/E<0.8"
"9/4/2015",5000104,"WMTNS","XER","STAR-HAWKINS","6/22/2001",41.4466,-117.666,"R","EPA01-0115",1,2001,NA,"",5.91776,6.47508,8.57143,4.26857,7.05882,7.60628,17.14286,37.14286,13,37.14286,61.4786,5,14.28571,13,40.66667,37.14286,2.83794,11,16.66667,23,65.71429,6,7,8.57143,11.42857,1.012308903,"O/E>0.9"
"9/4/2015",5000105,"WMTNS","XER","STAR-HAWKINS","6/22/2001",41.5675,-117.729,"R","EPA01-0116",1,2001,NA,"",9.3868,7.41993,5.71429,8.84,6.47059,6.736,14.28571,25.71429,21,60,56.98113,5,14.28571,12,27,34.28571,2.84265,12,5.33333,26,74.28571,4,9,11.42857,14.28571,0.594008296,"O/E<0.8"
"9/4/2015",5000106,"WMTNS","XER","STAR-HAWKINS","6/23/2001",41.8146,-117.448,"R","EPA01-0117",1,2001,NA,"",7.95837,7.33038,2.85714,5.59,7.05882,9.18367,12.5,25,14,43.75,57.40741,3,9.375,13,65.33333,40.625,2.72592,9,10,24,75,2,8,6.25,6.25,0.857133197,"O/E<0.9"
"9/4/2015",5000107,"WMTNS","XER","STAR-HAWKINS","6/25/2001",40.5976,-115.383,"R","EPA01-0119",1,2001,NA,"",6.32589,5.59419,4.28571,7.31619,4.70588,8.18647,4.7619,23.80952,11,52.38095,65.67164,4,19.04762,9,56.66667,42.85714,2.4776,7,15.33333,14,66.66667,3,2,9.52381,9.52381,0.995295914,"O/E>0.9"
"9/4/2015",5000108,"WMTNS","XER","STAR-HAWKINS","6/26/2001",40.4853,-115.563,"R","EPA01-0121",1,2001,NA,"",8.0604,9.34727,7.14286,4.94811,5.88235,8.61769,16.21622,32.43243,15,40.54054,47.80702,6,16.21622,11,52.66667,29.72973,3.01708,13,9.66667,27,72.97297,5,6,2.7027,8.10811,1.034952592,"O/E>0.9"
"9/4/2015",5000109,"WMTNS","XER","STAR-HAWKINS","6/27/2001",40.7676,-115.276,"R","EPA01-0122",1,2001,NA,"",8.97868,7.73904,5.71429,7.55429,7.05882,9.99956,14.28571,28.57143,15,53.57143,55.46218,5,17.85714,13,71.33333,46.42857,2.71225,12,6.66667,21,75,4,4,3.57143,3.57143,1.17373078,"O/E>0.9"
"9/4/2015",5000111,"WMTNS","WMT","STAR-HAWKINS","7/5/2001",45.1816,-116.626,"R","EPA01-0124",1,2001,NA,"",9.50772,4.64828,10,7.91415,6.47059,9.42744,3.57143,14.28571,17,60.71429,62.91667,6,21.42857,17,91.66667,60.71429,2.59597,10,1.33333,20,71.42857,8,5,3.57143,3.57143,1.064595834,"O/E>0.9"
"9/4/2015",5000112,"WMTNS","WMT","STAR-HAWKINS","7/6/2001",45.1326,-116.416,"R","EPA01-0125",1,2001,NA,"",7.96085,2.55593,8.57143,8.10762,4.70588,7.61447,11.53846,19.23077,16,61.53846,71.64179,7,26.92308,14,61,53.84615,2.36834,11,4.66667,20,76.92308,7,2,7.69231,7.69231,1.060326634,"O/E>0.9"
"9/4/2015",5000113,"WMTNS","WMT","STAR-HAWKINS","7/6/2001",45.1324,-115.97,"R","EPA01-0126",1,2001,NA,"",5.84334,7.28016,4.28571,4.747,5.88235,8.55453,19.44444,27.77778,17,47.22222,51.94175,8,22.22222,16,41,44.44444,3.01332,17,7.66667,27,75,4,8,5.55556,5.55556,1.077999639,"O/E>0.9"
"9/4/2015",5000114,"WMTNS","WMT","STAR-HAWKINS","7/7/2001",44.5261,-116.112,"R","EPA01-0127",1,2001,NA,"",7.79842,8.47991,5.71429,6.13263,6.47059,8.24901,9.375,15.625,17,53.125,46.93878,5,15.625,17,66.33333,53.125,2.96966,12,15,21,65.625,5,5,6.25,6.25,1.034122582,"O/E>0.9"
"9/4/2015",5000115,"WMTNS","WMT","STAR-HAWKINS","7/7/2001",44.7816,-115.871,"R","EPA01-0128",1,2001,NA,"",6.70628,3.42926,4.28571,7.4227,4.70588,9.48162,17.24138,24.13793,17,58.62069,68,4,13.7931,14,65.33333,48.27586,2.51429,13,1.66667,21,72.41379,4,4,3.44828,3.44828,1.005030786,"O/E>0.9"
"9/4/2015",5000116,"WMTNS","WMT","STAR-HAWKINS","7/8/2001",44.3829,-115.759,"R","EPA01-0129",1,2001,NA,"",10,2.45592,5.71429,10,4.70588,10,13.63636,9.09091,17,77.27273,72.05882,6,27.27273,14,87.33333,63.63636,2.20863,9,0.33333,18,81.81818,5,3,0,0,0.811522089,"O/E<0.9"
