"title" "year" "length" "budget"
"'G' Men" 1935 85 450000
"'Manos' the Hands of Fate" 1966 74 19000
"'Til There Was You" 1997 113 23000000
".com for Murder" 2002 96 5000000
"10 Things I Hate About You" 1999 97 16000000
"100 Mile Rule" 2002 98 1100000
"100 Proof" 1997 94 140000
"101" 1989 117 200000
"101-vy kilometer" 2001 103 200000
"102 Dalmatians" 2000 100 85000000
"11:14" 2003 95 6000000
"12 Angry Men" 1957 96 340000
"12 to the Moon" 1960 74 150000
"13 Going On 30" 2004 98 37000000
"13th Warrior, The" 1999 102 85000000
"1492: Conquest of Paradise" 1992 154 47000000
"15 Minutes" 2001 120 42000000
"1776" 1972 180 4000000
"1900" 1976 245 9000000
"1941" 1979 146 35000000
"2 Fast 2 Furious" 2003 107 76000000
"20 Dates" 1998 87 60000
"20,000 Leagues Under the Sea" 1916 105 200000
"200 Cigarettes" 1999 101 6000000
"200 Motels" 1971 98 679000
"20000 Leagues Under the Sea" 1954 127 5000000
"2001: A Space Odyssey" 1968 156 10500000
"2001: A Space Travesty" 2000 99 26000000
"2046" 2004 129 12000000
"21 Grams" 2003 124 20000000
"24 Hour Woman, The" 1999 93 2500000
"25 Watts" 2001 92 200000
"25th Hour" 2002 135 15000000
"28 Days" 2000 103 43000000
"28 Days Later..." 2002 113 8000000
"3 AM" 2003 22 32000
"3 Strikes" 2000 82 6000000
"3 Women" 1977 124 1500000
"3000 Miles to Graceland" 2001 125 62000000
"40 Days and 40 Nights" 2002 96 17000000
"42nd Street" 1933 89 439000
"5 Dark Souls" 1996 94 1500
"5 Dead on the Crimson Canvas" 1996 96 25000
"5,000 Fingers of Dr. T., The" 1953 89 1600000
"50 First Dates" 2004 99 75000000
"51st State, The" 2001 92 28000000
"54" 1998 100 13000000
"55 Days at Peking" 1963 150 17000000
"6th Day, The" 2000 123 82000000
"72 metra" 2004 100 1600000
"7th Voyage of Sinbad, The" 1958 88 650000
"8 Mile" 2002 110 41000000
"80's Ending" 2003 9 10000
"8MM" 1999 123 40000000
"90" 2005 14 4000
"9:30" 2004 13 12000
"A.N.I. 1240" 2003 13 8000
"ABCD" 1999 105 200000
"AVP: Alien Vs. Predator" 2004 102 45000000
"Abandon" 2002 99 25000000
"Abbott and Costello Go to Mars" 1953 81 754000
"Abbott and Costello Meet Captain Kidd" 1952 75 450000
"Abby" 1974 89 400000
"Abby Singer" 2003 79 1500
"Aberdeen" 2000 106 6500000
"Able Edwards" 2004 87 30000
"Able's House Is Green, The" 2003 13 6800
"About Schmidt" 2002 125 30000000
"About a Boy" 2002 101 27000000
"Abschied" 1930 80 15000
"Absolon" 2003 96 8000000
"Absolute Power" 1997 121 50000000
"Absolution" 2001 23 13000
"Abyss, The" 1989 171 69500000
"Accident" 1967 105 600000
"Accountant, The" 1999 50 5000
"Ace Ventura: Pet Detective" 1994 86 12000000
"Ace Ventura: When Nature Calls" 1995 90 30000000
"Ace in the Hole" 1951 111 1821052
"Across the Wide Missouri" 1951 78 5000000
"Across to Singapore" 1928 86 290000
"Actors Anonymous: The Truth Behind the Dream" 2003 60 30000
"Acts of Betrayal" 1997 90 3000000
"Adam Had Four Sons" 1941 81 488000
"Adaptation." 2002 114 19000000
"Addams Family, The" 1991 99 38000000
"Adventure" 1945 135 3500000
"Adventure's End" 1937 60 90000
"Adventures of Baron Munchausen, The" 1988 125 46630000
"Adventures of Bob & Doug McKenzie: Strange Brew, The" 1983 90 4000000
"Adventures of Elmo in Grouchland, The" 1999 89 17000000
"Adventures of Huck Finn, The" 1993 108 6500000
"Adventures of Lucky Pierre, The" 1961 70 7100
"Adventures of Marco Polo, The" 1938 100 2000000
"Adventures of Pinocchio, The" 1996 92 25000000
"Adventures of Pluto Nash, The" 2002 95 100000000
"Adventures of Robin Hood, The" 1938 102 1900000
"Adventures of Rocky & Bullwinkle, The" 2000 88 76000000
"Affairs of Cellini, The" 1934 80 549370
"Affairs with Bears" 2002 27 7000
"Affliction" 1997 114 6000000
"After Hours" 1985 96 4500000
"After Image" 2001 92 1200000
"After Midnight" 1989 90 3000000
"After Sex" 2000 96 5000000
"After the Sunset" 2004 97 58000000
"Afterschool Delight" 2003 10 5000
"Age of Innocence" 1977 101 850000
"Age of Innocence, The" 1993 139 34000000
"Agent Cody Banks" 2003 102 26000000
"Agent Cody Banks 2: Destination London" 2004 100 26000000
"Agent on Ice" 1985 96 2500000
"Aida degli alberi" 2001 75 7000000
"Aimee Semple McPherson" 2004 112 500000
"Air Bud" 1997 98 3000000
"Air Force One" 1997 124 85000000
"Air Marshal" 2003 90 500000
"Airborne" 1993 91 2600000
"Airmail" 1932 84 305000
"Airplane!" 1980 88 3500000
"Airport" 1970 137 10000000
"Airport 1975" 1974 107 3000000
"Akasha" 2001 82 1500
"Akumulator 1" 1994 102 2000000
"Aladdin" 1992 90 28000000
"Alamo, The" 1960 192 12000000
"Alamo, The" 2004 137 95000000
"Alan Smithee Film: Burn Hollywood Burn, An" 1997 86 10000000
"Albino Alligator" 1996 97 5000000
"Alex's Apartment" 1992 80 45000
"Alexander" 2004 175 150000000
"Alexander's Ragtime Band" 1938 106 2000000
"Alferd Packer: The Musical" 1996 97 125000
"Alfie" 1966 114 800000
"Alfie" 2004 103 60000000
"Ali" 2001 165 107000000
"Alias" 2002 98 1500000
"Alice" 1990 102 12000000
"Alice Doesn't Live Here Anymore" 1974 112 85000
"Alice in Wonderland" 1951 75 3000000
"Alice's Adventures in Wonderland" 1972 95 2500000
"Alien" 1979 116 11000000
"Alien Abduction" 2005 90 600000
"Alien Dead" 1980 69 12000
"Alien Escape" 1997 85 1000000
"Alien Nation" 1988 91 16000000
"Alien: Resurrection" 1997 116 70000000
"Aliens" 1986 154 18500000
"Alive" 1993 127 32000000
"All About the Benjamins" 2002 95 14000000
"All Quiet on the Western Front" 1930 147 1200000
"All This, and Heaven Too" 1940 141 1370000
"All Through the Night" 1942 107 750000
"All the President's Men" 1976 138 8500000
"All the Pretty Horses" 2000 116 45000000
"All the Queen's Men" 2001 105 25000000
"All the Real Girls" 2003 108 1000000
"All the Stage Is a World" 2005 89 12000
"All the Vermeers in New York" 1990 87 250000
"Alligator" 1980 89 1000000
"Alligator II: The Mutation" 1991 92 3000000
"Almost Famous" 2000 162 60000000
"Almost You" 1985 96 1000000
"Aloha, Bobby and Rose" 1975 85 60000
"Alone in the Dark" 2005 96 20000000
"Along Came Polly" 2004 90 42000000
"Along Came a Spider" 2001 104 28000000
"Along for the Ride" 2000 99 150000
"Alpha Dead" 2004 11 5000
"Alpha Incident, The" 1978 95 200000
"Als je begrijpt wat ik bedoel" 1983 84 2000000
"Always" 1989 106 29500000
"Always Late" 2004 6 1000
"Amadeus" 1984 180 18000000
"Ame agaru" 1999 91 3800000
"America 3000" 1986 84 2000000
"America's Sweethearts" 2001 102 48000000
"American Beauty" 1999 121 15000000
"American Bickman Burger, The" 2001 18 100000
"American Boy: A Profile of: Steven Prince" 1978 55 155000
"American Desi" 2001 100 250000
"American Drive-In" 1985 92 10000000
"American Gigolo" 1980 117 4800000
"American Graffiti" 1973 110 777000
"American History X" 1998 119 10000000
"American Jedi" 2002 8 2000
"American Me" 1992 125 16000000
"American Ninja 2: The Confrontation" 1987 90 350000
"American Outlaws" 2001 94 35000000
"American Pie" 1999 95 11000000
"American Pie 2" 2001 105 30000000
"American President, The" 1995 114 62000000
"American Psycho" 2000 102 8000000
"American Raspberry" 1977 75 50000
"American Wedding" 2003 103 55000000
"American Werewolf in London, An" 1981 92 10000000
"American Werewolf in Paris, An" 1997 105 22000000
"American Yearbook" 2004 90 500000
"American in Paris, An" 1951 113 2723903
"Amistad" 1997 152 40000000
"Amityville Horror, The" 2005 90 18000000
"Amor y el espanto, El" 2001 110 650000
"Amores perros" 2000 153 2000000
"Anaconda" 1997 89 45000000
"Anacondas: The Hunt for the Blood Orchid" 2004 97 25000000
"Analyze This" 1999 109 30000000
"Anastasia" 1997 94 53000000
"Anatomy of a Fight" 2003 80 17000
"Anchorman: The Legend of Ron Burgundy" 2004 104 26000000
"And Baby Makes Three" 1949 84 700000
"And I Lived" 2005 107 20000
"And Now for Something Completely Different" 1971 85 100000
"And Then Came Summer" 2000 115 2300
"Andy" 1985 73 125000
"Andy in Love" 2004 11 4000
"Angel Eyes" 2001 102 38000000
"Angel Heart" 1987 113 17000000
"Angela's Ashes" 1999 145 25000000
"Anger Management" 2003 106 75000000
"Angry Red Planet, The" 1960 83 190000
"Anima" 2003 26 50000
"Animal House" 1978 109 3000000
"Animal, The" 2001 84 22000000
"Animatrix: Final Flight of the Osiris, The" 2003 11 5000000
"Ann Vickers" 1933 76 303000
"Anna Christie" 1930 89 376000
"Anna Karenina" 1935 95 1152000
"Anna and the King" 1999 148 75000000
"Annie" 1982 126 50000000
"Annie Get Your Gun" 1950 107 3768785
"Annie Hall" 1977 93 4000000
"Another Language" 1933 77 272297
"Another Woman" 1988 84 10000000
"Another You" 1991 94 26000000
"Anthony Adverse" 1936 141 1050500
"Anthrax" 2001 90 2500000
"Antikiller" 2002 114 5000000
"Antitrust" 2001 108 30000000
"Antman, The" 2002 94 800000
"Antony and Cleopatra" 1972 160 1600000
"Antwone Fisher" 2002 117 12500000
"Antz" 1998 83 60000000
"Anus Magillicutty" 2003 70 5000
"Any Given Sunday" 1999 156 62000000
"Any Number Can Play" 1949 112 1465641
"Anyone" 2004 8 1000
"Anything Else" 2003 108 18000000
"Anything Goes" 1936 92 1100000
"Anywhere But Here" 1999 114 23000000
"Apache Woman" 1955 69 80000
"Aparte" 2002 91 90000
"Apartment Zero" 1988 124 4000000
"Apartment, The" 1960 125 3000000
"Apocalypse Now" 1979 202 31500000
"Apollo 13" 1995 140 62000000
"Apostle, The" 1997 134 5000000
"Appointment, The" 1996 89 45000
"Apt Pupil" 1998 112 14000000
"Arachnophobia" 1990 103 31000000
"Arc" 2004 30 9000
"Arch of Triumph" 1948 133 5000000
"Are These Our Children" 1931 84 400000
"Are We There Yet?" 2005 95 32000000
"Are You Popular?" 1947 10 11000
"Argentino en New York, Un" 1998 95 3000000
"Aristocats, The" 1970 78 4000000
"Arizona" 1940 121 2000000
"Arlington Road" 1999 117 21500000
"Armageddon" 1998 153 140000000
"Armed Response" 1986 86 1500000
"Army of Darkness" 1993 96 11000000
"Around the Fire" 1999 106 1200000
"Around the World in 80 Days" 2004 120 110000000
"Around the World in Eighty Days" 1956 175 6000000
"Arrangement" 2004 109 3200000
"Art Thief Musical!" 2004 20 25000
"Arthur" 1981 97 7000000
"Artie Shaw: Time Is All You've Got" 1985 114 250000
"Artificial Intelligence: AI" 2001 146 90000000
"Artists and Models" 1955 109 1500000
"As Good as It Gets" 1997 139 50000000
"As You Desire Me" 1932 70 460733
"Asburied" 2002 8 2000
"Ascension" 2004 85 5500
"Asesino en serio" 2002 84 2500000
"Ash Wednesday" 2005 23 4999
"Assassination of Trotsky, The" 1972 103 2500000
"Assassins" 1995 132 50000000
"Assault of the Killer Bimbos" 1988 85 250000
"Assault on Precinct 13" 1976 91 100000
"Assault on Precinct 13" 2005 109 20000000
"Assisted Living" 2003 78 500000
"Asterix in Amerika" 1994 85 12500000
"Astronaut's Wife, The" 1999 109 34000000
"Aswang" 1994 82 70000
"Asylum of Satan" 1975 80 50000
"At Close Range" 1986 111 6500000
"At First Sight" 1999 128 40000000
"At Long Last Love" 1975 105 6000000
"At Night with No Curtains" 2004 87 8000
"Atlantic City" 1980 104 7200000
"Atlantida" 2002 93 1000000
"Atlantis: The Lost Empire" 2001 95 90000000
"Atlas" 1961 79 70000
"Atomic Submarine, The" 1959 72 135000
"Atrapados" 1999 26 3500
"Attack of the 50 Foot Woman" 1958 65 88000
"Attack of the Crab Monsters" 1957 62 70000
"Attack of the Giant Leeches" 1959 62 70000
"Attic Expeditions, The" 2001 100 1000000
"Attic Man" 2004 10 6000
"Attila" 1954 100 900000
"Auch Zwerge haben klein angefangen" 1970 96 200000
"Aura" 2002 22 19000
"Aurora" 1998 87 90000
"Austerlitz" 1960 122 4000000
"Austin Powers in Goldmember" 2002 94 63000000
"Austin Powers: International Man of Mystery" 1997 94 17000000
"Austin Powers: The Spy Who Shagged Me" 1999 95 33000000
"Auteur Theory, The" 1999 79 70000
"Auto Focus" 2002 105 7000000
"Automation" 2004 26 41000
"Autumn in New York" 2000 103 40000000
"Avalon" 2001 106 8000000
"Avanti popolo" 1986 84 60000
