Name,Cite,URL,Type,Level
Adobe Creative Suite,NA,https://www.adobe.com/creativecloud.html,Software,Mason
R,R-base,https://www.r-project.org/,Software,Minimum
Git,NA,,Software,Minimum
Zoom,NA,,Software,Minimum
RStudio,NA,,Software,Recommended
GitHub,NA,,Software,Recommended
Microsoft Office Suite,NA,,Software,Recommended
Blender,NA,,Software,Mason
Open Broadcaster Software,NA,https://obsproject.com/,Software,Mason
Inkscape,NA,,Software,Mason
R for Data Science,Wickham2017R,http://r4ds.had.co.nz/,Text,Minimum
GitHub Account,NA,https://github.com/,Account,Minimum
Open Science Framework (OSF),NA,https://osf.io/,Account,Recommended
"Upgraded GitHub ""Pro"" Account",NA,https://github.com/,Account,Recommended
GitHub Student Developer Pack,NA,https://education.github.com/pack,Account,Recommended
