Module,Name,Slides,Lab,Videos,Application,Lecture Notes
0,Don't Miss Module 00,NA,NA,1,NA,1
1,Welcome to Data Science,1,1,1,1,1
2,Welcome to Data and Visualization,1,1,1,1,1
3,Welcome to the tidyverse!,1,1,1,1,1
4,Welcome to Data Diving with Types,1,1,1,1,1
5,Welcome to Tips for Effective Data Visualization,1,1,1,1,1
6,Welcome to Confounding and Communication!,1,1,1,NA,NA
7,Welcome to web scraping,1,1,1,1,1
8,Welcome to Functions and Automation,1,1,1,1,1
9,Welcome to Data and Ethics,1,1,.5,NA,1
10,Welcome to modeling the tidy way!,1,1,1,NA,1
11,Welcome to Overfitting and Cross-Validation,1,1,1,NA,1
12,Welcome to Quantifying Uncertainty,1,1,1,NA,1
13,Welcome to Base R and Simulating Data,1,1,0,NA,1
14,Welcome to Large Language Models,1,.5,0,NA,1
15,Welcome to interactive web apps,1,NA,0,NA,1
16,Special Topics: Reproducible reports,NA,1,NA,NA,1
17,"Special Topics: Machine, Learn",NA,.5,NA,NA,0
18,Don't Miss The Last Module,NA,NA,NA,NA,1
