title,link
404,https://datascience4psych.github.io/DataScience4Psych/404.html
activityohmygitversioncontrolchallenge,https://datascience4psych.github.io/DataScience4Psych/activity-oh-my-git-version-control-challenge.html
ae01,https://datascience4psych.github.io/DataScience4Psych/ae01.html
apiwrappers,https://datascience4psych.github.io/DataScience4Psych/api-wrappers.html
attribution,https://datascience4psych.github.io/DataScience4Psych/attribution.html
basicsyntax,https://datascience4psych.github.io/DataScience4Psych/basic-syntax.html
basiccare,https://datascience4psych.github.io/DataScience4Psych/basiccare.html
bechdal,https://datascience4psych.github.io/DataScience4Psych/bechdal.html
bias,https://datascience4psych.github.io/DataScience4Psych/bias.html
bootstrapping,https://datascience4psych.github.io/DataScience4Psych/bootstrapping.html
childdocuments,https://datascience4psych.github.io/DataScience4Psych/child-documents.html
colophon,https://datascience4psych.github.io/DataScience4Psych/colophon.html
communicatingdatascienceresultseffectively,https://datascience4psych.github.io/DataScience4Psych/communicating-data-science-results-effectively.html
datascienceandethics,https://datascience4psych.github.io/DataScience4Psych/data-science-and-ethics.html
datatypesandrecoding,https://datascience4psych.github.io/DataScience4Psych/data-types-and-recoding.html
datausuallyfindsme,https://datascience4psych.github.io/DataScience4Psych/data-usually-finds-me.html
data_simulations,https://datascience4psych.github.io/DataScience4Psych/data_simulations.html
deeperdivingintoggplot2,https://datascience4psych.github.io/DataScience4Psych/deeper-diving-into-ggplot2.html
designingeffectivevisualizations,https://datascience4psych.github.io/DataScience4Psych/designing-effective-visualizations.html
diywebdata,https://datascience4psych.github.io/DataScience4Psych/diy-web-data.html
dontmissmodule00,https://datascience4psych.github.io/DataScience4Psych/dont-miss-module-00.html
dontmissthelastmodule,https://datascience4psych.github.io/DataScience4Psych/dont-miss-the-last-module.html
dplyr_intro,https://datascience4psych.github.io/DataScience4Psych/dplyr_intro.html
efficientworkflowwithrprojectsandrmarkdown,https://datascience4psych.github.io/DataScience4Psych/efficient-workflow-with-r-projects-and-r-markdown.html
enhancingthefunctiontowardstheperfectlyformedrearviewmirror,https://datascience4psych.github.io/DataScience4Psych/enhancing-the-function-towards-the-perfectly-formed-rear-view-mirror.html
exploratorydataanalysis,https://datascience4psych.github.io/DataScience4Psych/exploratory-data-analysis.html
featurenotes,https://datascience4psych.github.io/DataScience4Psych/featurenotes.html
fittingandinterpretingmodels,https://datascience4psych.github.io/DataScience4Psych/fitting-and-interpreting-models.html
functionspart1,https://datascience4psych.github.io/DataScience4Psych/functions-part1.html
functionspracticum,https://datascience4psych.github.io/DataScience4Psych/functions-practicum.html
goodresources,https://datascience4psych.github.io/DataScience4Psych/good-resources.html
guidance,https://datascience4psych.github.io/DataScience4Psych/guidance.html
handson,https://datascience4psych.github.io/DataScience4Psych/handson.html
